team,color_1,color_2,color_3
Bowling Green Falcons,#4f2c1d,#ff7300,
Bradley Braves,#a50000,#000000,
Brandeis Judges,#002855,#c8c9c7,
Brenau Golden Tigers,#010101,#ebbc4e,
Brescia Bearcats,#004c97,#daaa00,
Brevard Tornadoes,#003a70,#010101,
Brewton–Parker Barons,#fe5000,#071d49,
Briar Cliff Chargers,#00205b,#f2a900,
Bridgeport Purple Knights,#440099,#010101,
Bridgewater Eagles,#9d2235,#89734c,
Bridgewater State Bears,#a6192e,#000000,
Brooklyn Bulldogs,#862041,#f1be48,
Brown Bears,#4e3629,#c00404,
Bryant Bulldogs,#231f20,#b09863,
Bryant Lions,#9d2235,#1d1f2a,
Bryn Athyn Lions,#ba0c2f,#000000,
Bryn Mawr Owls,#fedb00,#010101,
Bucknell Bison,#003865,#ef5b0c,
Buena Vista Beavers,#0c2340,#ffcd00,
Buffalo Bulls,#005bbb,,
Buffalo State Bengals,#cc6600,#000000,
Bushnell Beacons,#041e42,#ffcd00,
Butler Bulldogs,#13294b,#75787b,
CSU–Pueblo ThunderWolves,#00396a,#ad123a,
Cabrini Cavaliers,#00205b,,
Cairn Highlanders,#6f263d,#010101,
Cal Maritime Keelhaulers,#002855,#c99700,
Cal Poly Mustangs,#003831,#ffe395,
Cal Poly Pomona Broncos,#1e4d2b,#ffb81c,
Cal State Bakersfield Roadrunners,#003594,#ffc629,
Cal State Dominguez Hills Toros,#860038,#f0b310,
Cal State East Bay Pioneers,#d50032,#000000,
Cal State Fullerton Titans,#00274c,#ff7900,
Cal State Los Angeles Golden Eagles,#000000,#ffce00,
Cal State Monterey Bay Otters,#002a4e,#9e8b50,
Cal State Northridge Matadors,#ce1126,#000000,
Cal State San Bernardino Coyotes,#0065bd,#000000,
Cal State San Marcos Cougars,#007ac3,#35b7e9,
Cal Tech Beavers,#ff6720,#010101,
Caldwell Cougars,#c8102e,#89734c,
Calgary Dinos,#e30c00,#ffcc00,
California Baptist Lancers,#002554,#a37400,
California Golden Bears,#041e42,#ffc72c,
California Lutheran Kingsmen,#2e1a47,#f1c400,
California Vulcans,#da291c,#27251f,
Calumet Crimson Wave,#76232f,#545859,
Calvin Knights,#93282c,#f2cd00,
Cameron Aggies,#000000,#ffc425,
Campbell Fighting Camels,#1e252b,#ea7125,
Campbellsville Tigers,#862633,#b1b3b3,
Canisius Golden Griffins,#0e2756,#ffba00,
Capital Crusaders,#330072,#53565a,
Cardinal Stritch Wolves,#6c1d45,#a2aaad,
Carleton Knights,#0b5091,#f3b61d,
Carleton Ravens,#00000d,#e31936,
Carlisle Indians,#ae0f0b,#cfb53b,
Carlow Celtics,#3c1053,#f1c400,
Carnegie Tech Tartans,#990000,#464646,
Carroll Fighting Saints,#330072,#ceb888,
Carroll Pioneers,#e35205,#0c2340,
Carson–Newman Eagles,#ff6720,#0c2340,
Carthage Big Red,#c8102e,#010101,
Case Western Reserve Spartans,#0a304e,#626262,
Castleton Spartans,#00563b,#a4b3bb,
Catawba Indians,#049900,#c21630,
Catholic University Cardinals,#990000,#000000,
Cazenovia Wildcats,#00205b,#ffcd00,
Cedar Crest Falcons,#ffc72c,#010101,
Cedarville Yellow Jackets,#00263e,#f2a900,
Centenary Cyclones,#051c2c,#63666a,
Centenary Gentlemen,#8a2432,#000000,
Central Arkansas Bears,#582c83,#7c878e,
Central Baptist Mustangs,#003da5,#a6a6a6,
Central Christian Tigers,#003087,#ffb81c,
Central Collegiate Hockey Association,#143159,#d12030,
Central Connecticut Blue Devils,#1a4784,#c9ced1,
Central Dutch,#e4002b,#c8c9c7,
Central Florida Knights of Pegasus,#b3a369,#010101,
Central Methodist Eagles,#006341,#010101,
Central Michigan Chippewas,#6a0032,#ffc82e,
Central Missouri Mules,#cf202e,#000000,
Central Oklahoma Bronchos,#003366,#ffcc00,
Central State Marauders,#71273d,#ffcb00,
Central Washington Wildcats,#ab0032,#2c2a29,
Centre Colonels,#000000,#ffcc00,
Chadron State Eagles,#660033,#000000,
Chaminade Silverswords,#004990,#5e6e66,
Chapman Panthers,#862633,#a2aaad,
Charleston Golden Eagles,#992244,#ffd200,
Charleston Southern Buccaneers,#002855,#a89968,
Charlotte 49ers,#005035,#a49665,
Chatham Cougars,#735990,#a5aaa8,
Chattanooga Mocs,#00386b,#e0aa0f,
Chestnut Hill Griffins,#e4002b,#fed141,
Cheyney Wolves,#0d3e70,#231f20,
Chicago Maroons,#800000,,
Chicago State Cougars,#006666,#000000,
Chico State Wildcats,#952945,#aaaaab,
Chowan Hawks,#003087,#041e42,
Christian Brothers Buccaneers,#cc092f,#a49791,
Christopher Newport Captains,#0039a6,#84888b,
Cincinnati Bearcats,#e00122,#000000,
Citadel Bulldogs,#1f3a60,#4d90cd,
City College of New York Beavers,#7d55c7,#595959,#000000
Claflin Panthers,#000000,#cc3727,
Claremont McKenna Stags,#862633,#eaaa00,
Clarion Golden Eagles,#003366,#97824a,
Clark Atlanta Panthers,#ce1126,#000000,
Clark Cougars,#cc0000,#939598,
Clarke Pride,#0c2340,#ffcd00,
Clarks Summit Defenders,#003da5,#010101,#9ea2a2
Clarkson Golden Knights,#03522b,#ffd204,
Clayton State Lakers,#092c74,#fc6719,
Cleary Cougars,#9d2235,#0c2340,
Clemson Tigers,#f56600,#522d80,
Cleveland State Vikings,#006a4d,#000000,
Clinton Golden Bears,#010101,#9b2743,#eed484
Coastal Carolina Chanticleers,#006f71,#a27752,
Coastal Georgia Mariners,#0077c8,#003b5c,
Coe Kohawks,#93282c,#cba052,
Coker Cobras,#002855,#ffc72c,
Colby Mules,#002878,#e3d7d1,
Colby–Sawyer Chargers,#0085ca,#010101,
Colgate Raiders,#821019,#000000,
College Football Playoff,#000000,#c9920e,
College of Charleston Cougars,#76232f,#c5b783,
Colonial Athletic Association,#002469,#ba9e66,
Colorado A&M Aggies,#006a4d,#d9782d,
Colorado Buffaloes,#000000,#cfb87c,
Colorado Christian Cougars,#00416b,#fed925,
Colorado College Tigers,#000000,#efab1e,
Colorado Mesa Mavericks,#5d0022,#fed103,
Colorado Mines Orediggers,#21314d,#b2b4b3,
Colorado State Rams,#006a4d,#b3a369,
Colorado–Colorado Springs Mountain Lions,#000000,#cfb87c,
Columbia Cougars,#002855,#9ea2a2,
Columbia Fighting Koalas,#582c83,#888b8d,
Columbia Lions,#99caea,#183863,#000000
Columbus State Cougars,#003359,#c60c30,
Concord Mountain Lions,#862633,#768692,
Concordia Bulldogs,#002855,#898d8d,
Concordia Cardinals,#c8102e,#010101,
Concordia Cavaliers,#003e7e,,
Concordia Clippers,#001489,#ffcd00,
Concordia Cobbers,#7d0042,#ffcf46,
Concordia Cougars,#9d2235,#ffc72c,
Concordia Falcons,#005596,#faa634,
Concordia Golden Bears,#002f65,#deb407,
Concordia Golden Eagles,#004c23,#fdb724,
Concordia Tornados,#582c83,#fed141,
Conference Carolinas,#00205b,#ffb81c,
Conference USA,#003865,#a6192e,
Connecticut College Camels,#002f5f,#9ec3de,
Connecticut Huskies,#000e2f,#e4002b,
Converse Valkyries,#3c1053,#daaa00,
Coppin State Eagles,#003056,#ffc915,
Corban Warriors,#041e42,#f2a900,
Cornell Big Red,#b31b1b,#222222,
Cornell Rams,#523178,#010101,
Cornerstone Golden Eagles,#13294b,#d9c89d,
Cortland Red Dragons,#b91000,#000000,
Cottey Comets,#3a5dae,#fbdb65,
Cotton Bowl Classic,#263764,#fde71e,
Covenant Fighting Scots,#003da5,#002855,
Creighton Bluejays,#005ca9,#00235d,
Crowley's Ridge Pioneers,#115740,#010101,
Crown Storm,#3c1053,#75787b,
Culinary Institute of America Steels,#22693a,#cfac7f,
Culver–Stockton Wildcats,#003594,#010101,
Cumberland Phoenix,#98002e,#000000,
Cumberlands Patriots,#ba0c2f,#d0d3d4,#041e42
Curry Colonels,#462c8d,#000000,
D'Youville Saints,#b02424,#5b6770,
Daemen Wildcats,#0000ff,,
Dakota State Trojans,#004165,#00a9e0,
Dakota Wesleyan Tigers,#004c97,#c1c6c8,
Dallas Baptist Patriots,#0b1f2c,#c41230,
Dallas Crusaders,#003a70,,
Dalton State Roadrunners,#00263a,#5b6770,
Dartmouth Big Green,#00693e,#000000,
Davenport Panthers,#d5160c,#000000,
Davidson Wildcats,#d02139,#000000,
Davis & Elkins Senators,#c8102e,#010101,
Davis Falcons,#5f249f,#010101,
Dayton Flyers,#002f87,#d70036,
De La Salle Green Archers,#00703c,,
DePaul Blue Demons,#054696,#e4002b,
DePauw Tigers,#111c24,#ffcf01,
DeSales Bulldogs,#ba0c2f,#002855,
Dean Bulldogs,#862633,#010101,
Defiance Yellow Jackets,#512d6d,#f3dd6d,
Delaware Fightin' Blue Hens,#00539f,#ffd200,
Delaware State Hornets,#ee3124,#0099cc,
Delaware Valley Aggies,#215732,#010101,
Delta State Statesmen,#00753e,#000000,
Denison Big Red,#a6192e,#010101,
Denver Pioneers,#8b2332,#8b6f4b,
Detroit Mercy Titans,#a6093d,#002d72,
Dickenson Red Devils,#da291c,#010101,
Dickenson State Blue Hawks,#002d72,#c0c0c0,
Dillard Bleu Devils,#003594,#b2b4b2,
District of Columbia Firebirds,#76232f,#f1be48,
Doane Tigers,#ff7900,#000000,
Dominican Chargers,#010101,#c8102e,
Dominican Penguins,#000000,#ffb81d,
Dominican Stars,#002855,#010101,
Dort Defenders,#010101,#c69214,
Drake Bulldogs,#003b73,#b2b4b3,
Drew Rangers,#0c2340,#154734,
Drexel Dragons,#07294d,#ffc600,
Drury Panthers,#e31837,#6a737b,
Dubuque Spartans,#002d72,#999999,
